"GenesetID"	"GenesetName"	"Species"	"ElementSize"	"EntrezID"
"C003585"	"22-hydroxycholesterol"	"Homo sapiens"	47	"19,9619,57007,857,6347,1071,2919,6373,2920,3576,1595,1717,1958,2099,2100,2222,2353,3156,3157,3162,84263,3383,3422,3433,3458,3552,3949,4023,4047,4094,6307,4597,4598,4846,7376,10062,2516,50814,5743,6401,6713,6720,6770,6772,7124,9966,7412"
"C003677"	"tomatidine"	"Homo sapiens"	7	"5594,5595,4313,4318,8434,5970,7076"
"C003747"	"urushiol"	"Homo sapiens"	5	"3576,23411,22933,7422,7424"
"C003898"	"2-anisidine"	"Homo sapiens"	98	"207,8915,596,602,332,8945,29775,79092,6364,6348,6352,958,9308,1385,1387,1435,1440,2919,2920,3576,1543,1544,1548,1555,1565,1571,1576,128178,5168,8772,3146,3310,3383,8870,3551,8517,3592,3553,3554,3558,3559,3567,3569,100195681,3654,134728,3656,4055,10892,4214,9020,6885,4353,4609,4615,9,10,4790,4791,4792,4793,4794,28512,28511,4843,1728,5724,9536,5743,5966,5970,5971,8737,6401,6772,10454,29110,7096,7097,7098,7099,10333,54106,7124,7128,8797,8795,8792,7132,8600,9966,8717,7186,7187,9618,7188,7412,171392"
"C004180"	"dexamethasone 21-phosphate"	"Homo sapiens"	7	"623,836,3553,142,5970,1992,7124"
"C004218"	"tylophorine"	"Homo sapiens"	18	"207,598,890,891,595,993,8837,1147,3654,9020,4792,5293,5530,5566,5743,5970,7124,8795"
"C004315"	"danthron"	"Homo sapiens"	25	"196,9131,213,22926,581,596,598,637,329,330,332,836,841,842,54205,1649,56616,2021,355,356,3309,6647,6648,8743,331"
"C004363"	"alantolactone"	"Homo sapiens"	11	"578,581,596,637,836,841,842,142,29122,5970,7157"
"C004369"	"2-phenylphenol"	"Homo sapiens"	8	"367,847,2099,2100,3265,8856,5241,7157"
"C004471"	"allyl isothiocyanate"	"Homo sapiens"	21	"624,836,1026,1555,1576,2150,1647,2936,2944,2950,3172,5594,5595,10397,8856,9970,10891,6256,6714,8989,7296"
"C004479"	"pimagedine"	"Homo sapiens"	26	"213,26,351,23621,581,596,842,847,857,947,1080,1555,2208,3458,3553,4018,4288,4843,5327,5663,5664,5054,6647,6648,6772,7364"
"C004482"	"1-aminopyrene"	"Homo sapiens"	8	"196,367,6352,3576,1544,1545,3567,7098"
"C004532"	"benzoquinone"	"Homo sapiens"	40	"196,1646,213,581,596,836,840,847,6356,6347,6348,6351,6352,1026,1436,6387,3576,1543,51635,22943,2730,2937,3014,3162,3586,3569,182,3791,4254,23764,5594,5595,4137,4602,4780,1728,860,7153,7157,7474"
"C004541"	"biochanin A"	"Homo sapiens"	72	"4363,1244,375790,196,501,84159,9577,596,598,836,1000,1026,1152,3576,1588,1543,1544,1545,1594,1559,51071,1983,59084,2060,2099,2100,2101,2103,2104,2091,2348,2760,2773,2876,3383,3932,753,56925,4323,4313,4318,4502,4698,4792,4841,9971,142,5204,5241,5329,10957,5743,55684,5970,55183,285367,6455,5250,6426,9766,6850,84222,27242,203068,7322,54658,54575,54577,54576,54600,54663,80014"
"C004554"	"2,4,6-tribromophenol"	"Homo sapiens"	10	"1583,1585,1586,1588,1589,3284,5468,6770,7031,7276"
"C004605"	"butamben"	"Homo sapiens"	6	"5469,8648,10499,8202,379051,399017"
"C004648"	"testosterone enanthate"	"Homo sapiens"	535	"10347,11057,22885,64746,93,8747,57188,22850,55109,192669,11214,1645,1646,8644,207,220,219,54784,154796,51433,284,286,288,26287,163,11154,8539,27350,348,351,367,374,51566,10095,79754,54829,445,23245,490,523,5205,546,8702,9529,11177,56987,9774,63035,23743,55589,665,2186,6046,686,79630,712,79823,23271,824,827,839,284119,873,23468,11007,54535,9134,1230,9973,977,963,983,54901,9731,9702,8824,3075,1082,1108,57680,1113,26586,1164,1182,9976,25932,23059,4849,4850,7373,1277,1278,1281,1284,1289,1290,1291,1292,8895,100379458,51232,128821,9150,1520,8065,1528,1535,50626,1583,1586,9595,1601,769389,780,10521,57062,8653,51029,1718,10901,54505,9785,1730,23181,27123,79982,3338,7266,10591,64180,1805,79980,1871,100380599,1894,1909,1910,30008,1948,254102,5610,1965,1981,8672,1997,2002,6924,23587,23065,2010,2022,5167,953,2050,2058,64167,23085,51575,2104,2134,7430,2147,23197,25854,2176,10922,51725,2207,2212,10979,9638,2272,2288,2289,23770,23768,2327,2487,2488,8087,9513,2585,2633,2634,23464,79018,2734,2782,54552,2800,2801,2803,27333,23131,2817,2824,29899,26585,2932,2939,2944,29083,3030,3047,3048,3055,3059,9843,26275,204851,3097,3113,3117,3119,3158,3183,10236,3204,3216,3217,3257,8630,7184,3304,3308,10553,27336,23553,3620,3423,107627,3428,3429,10964,2537,3437,3588,3570,3572,3636,3640,26512,10379,9636,3685,3768,5927,7403,9703,282442,54800,4297,3837,3845,3910,7805,3985,3987,645687,147525,4017,10161,23507,4052,4054,51747,4060,23499,23324,4137,4082,8930,10150,112950,64863,9761,8777,10198,10240,64968,55167,6307,4478,57509,84939,4599,4600,10608,25878,4629,4621,4636,4649,10443,80155,8202,79625,57447,4750,10763,9148,10725,84901,4820,51701,4837,9520,4939,4947,4967,79676,11054,5000,114882,10609,23022,114299,9060,56288,27253,51449,27250,9659,27115,5166,54704,8566,5211,80162,10857,9678,23469,22822,8301,5306,59338,5352,8613,10654,5479,9360,5494,4659,5506,5510,55607,5531,5551,5563,5565,5567,5576,5592,5624,84432,5627,5629,5634,23215,64063,158471,23198,5723,5725,79810,5757,5764,5775,5789,5816,7837,51552,5873,10111,5903,5911,9693,5929,5934,58517,55285,162427,9104,388,22836,8732,6095,6156,6236,6238,27341,91543,26156,51319,22902,6257,9733,9169,9522,6319,59342,11341,6397,10483,11196,29927,23231,26135,12,462,23451,81855,23678,9194,8034,144195,23169,55089,145389,9497,6579,4089,4090,10592,9126,23137,23049,9342,6617,6622,11066,6635,6638,10580,6654,6655,6659,3431,9043,23013,8878,6733,8406,23524,6431,6741,6742,8082,10402,7982,6770,6772,6793,11329,29966,10147,6847,10492,6875,6899,9747,8557,22980,6925,6949,400629,10618,7060,79896,38559,7078,54962,261726,7098,64114,8834,57146,91304,7110,8743,3842,23534,64222,9878,7164,7165,7175,29896,79090,9865,10626,10475,10194,7267,23508,11344,10628,7306,55284,29855,100301723,23376,7357,7398,9099,57478,23032,9736,55031,7408,7415,23325,8976,57418,9277,57599,7456,8839,65125,11060,55689,10652,7529,6935,7539,84619,7545,79830,9205,7707,9422,51710,10224,22869,54811"
