"GenesetID"	"GenesetName"	"Species"	"ElementSize"	"EntrezID"
"D001371"	"trans-1,4-Bis(2-chlorobenzaminomethyl)cyclohexane Dihydrochloride"	"Homo sapiens"	19	"427,440,11067,2168,64838,79153,3249,3592,3593,3559,83729,4047,8431,26471,5264,12,6515,6876,55062"
"D001374"	"Azacitidine"	"Homo sapiens"	342	"59,9510,174,55109,196,26289,207,210,213,200316,60489,366,367,2909,9181,417,51676,490,527,6790,578,581,586,596,598,23786,636,640,664,701,719,81688,796,800,843,836,838,839,841,8900,890,891,595,894,901,991,8476,999,983,1017,1019,1026,1028,1029,1030,1050,1058,1063,79172,1113,1118,4261,9071,9074,9073,9080,54805,7373,1277,1293,1339,1363,10815,1385,1390,1446,1471,1472,6387,1543,1544,1545,1576,9267,1612,1634,1674,1660,1734,8788,1750,1786,1788,1806,1843,1848,1869,1915,1944,1959,340947,2026,953,2099,2113,2138,9415,116496,51439,356,2192,2237,2252,11259,2308,2534,23766,2560,1647,4616,2634,2651,2697,2788,27238,10457,2987,3002,3005,3014,3081,3082,3087,8290,121504,3122,3159,8091,6927,3172,3198,3248,8739,3310,3397,3399,3458,3484,3487,3593,3558,3565,3569,3570,81689,3688,3689,11004,3802,3803,3804,3805,3809,3811,1316,354,3880,3882,3856,4029,3913,3945,3987,9516,1241,4069,8379,4100,4102,4130,5607,4137,4174,9656,4193,4204,1953,4237,4255,4288,4312,4318,9643,54456,22921,10797,4609,4747,4772,1482,54413,9111,64434,4867,3164,8204,51299,4907,4922,51203,55916,100506658,79627,26493,55074,5021,5034,5047,5058,79646,5078,54510,56122,56131,5163,5216,9749,8394,26207,64219,9033,5315,23236,8611,5358,5371,5515,5551,5617,8492,5669,5728,5744,5524,5788,5872,81876,29127,5903,22821,5954,5970,5979,5983,388,9610,8767,390158,79897,6194,3921,387867,391387,158674,391598,6241,50484,861,864,57402,6280,6286,57167,113178,6386,10371,10500,26168,10326,23517,7884,9154,3177,6528,4809,9021,9580,6667,10615,8406,6432,6744,117178,10402,8128,6774,8614,11329,23213,6819,6898,9882,6917,9895,7015,7030,7040,55623,7076,7082,23423,7112,3371,7124,7133,8743,7153,7157,7161,7169,7173,25823,7200,10221,81603,7248,7249,7253,10077,7272,11065,127933,7399,83878,7431,22911,7474,25937,54739,55734,7743,7784"
"D001379"	"Azathioprine"	"Homo sapiens"	134	"5243,57007,135,57016,1646,207,347902,84168,316,440,597,598,684,6364,1026,1047,1277,81035,1440,3576,7852,3491,1662,23586,1687,1803,2202,5168,956,2192,84085,2252,2353,2308,2633,2729,2730,9245,84803,2824,2877,2878,2936,2937,2938,2939,2944,51191,55008,29923,3117,3123,3290,3399,3429,3430,10561,10964,2537,64135,3434,3437,3479,3480,3592,3593,3552,3557,51561,3565,3569,3614,3615,3665,3667,9636,3669,3704,3725,3914,3976,56925,4061,5604,5594,5595,4082,4233,4319,4321,2475,4599,25878,56901,22795,4828,8013,4938,4940,25903,26227,29992,8613,151987,5727,5743,5879,5909,5918,5999,8767,127544,6198,22800,91543,6564,23657,6611,6648,10418,8878,140809,6772,6774,412,7058,7097,7124,7127,7157,7172,7249,10628,7409"
"D001386"	"Azides"	"Homo sapiens"	7	"581,596,10059,55669,9927,8884,6647"
"D001387"	"Azinphosmethyl"	"Homo sapiens"	5	"43,367,8678,1066,8824"
"D001388"	"Aziridines"	"Homo sapiens"	5	"596,3576,3569,2908,7124"
"D001464"	"Barium"	"Homo sapiens"	46	"774,777,8913,8912,8911,781,784,785,10369,10368,1135,1143,2147,2150,486,2782,2783,2784,59345,10681,54331,2785,2792,3744,3753,3756,23416,3768,3770,3772,3759,3761,338567,3784,4323,4883,5027,5747,6446,10110,23678,7222,7223,140803,55503,7389"
"D001507"	"Beclomethasone"	"Homo sapiens"	58	"5243,5244,4363,9429,54,154,623,632,842,847,6356,6347,6348,6351,6352,960,1437,3627,3576,29785,1577,2247,2335,2353,2687,3291,3383,3586,3596,3553,3557,3559,3562,3565,3567,3569,354,4057,4210,4313,4318,4843,8856,2908,4306,51365,5321,6036,6037,6401,6582,7070,7076,7124,10720,7363,7412,7422"
"D001514"	"Bee Venoms"	"Homo sapiens"	18	"581,596,836,1147,3576,1588,3036,3551,3553,5594,5595,4318,4790,4792,4843,5743,5970,23411"
"D001542"	"Benomyl"	"Homo sapiens"	31	"80332,367,581,596,701,6361,891,9133,3576,1586,1588,1649,9451,2081,2099,3065,3309,3678,3688,354,4313,4318,9971,94103,142,5328,5270,7076,7077,85480,7317"
"D001548"	"Benzalkonium Compounds"	"Homo sapiens"	29	"19,26154,23460,25805,6351,84518,1490,3576,7852,1543,1593,1717,10682,1958,3156,3383,28898,3552,3569,3575,3757,3812,1432,100302150,100616384,4929,677840,6721,2277"
"D001549"	"Benzamides"	"Homo sapiens"	6	"8309,595,1374,22943,3756,5465"
"D001553"	"Benzbromarone"	"Homo sapiens"	25	"8647,4363,1244,368,9370,1645,1646,8644,1109,1374,1401,1557,1559,2139,2140,3552,3553,3569,389434,4023,116085,9356,56606,6648,7124"
"D001554"	"Benzene"	"Homo sapiens"	620	"25980,5243,3983,23597,23205,2180,59,577,23394,54936,26523,79992,8227,80709,213,217,85365,239,240,51005,271,348094,51479,56172,54443,290,10947,328,351,367,84364,100194935,84986,196528,10552,27106,8623,171023,467,483,488,526,8455,26053,60370,8314,581,596,597,604,330,675,682,121551,694,84281,84310,84933,801,22794,836,840,842,847,868,6347,6364,6352,891,595,905,1234,10693,910,919,915,916,917,960,921,966,969,924,942,11140,157313,64866,983,1017,1026,1029,1030,64781,5119,57053,56548,1154,23601,1213,1191,8738,1390,1398,51340,1401,1407,202,1435,1436,1437,1439,1440,1454,81566,1471,1491,1493,1503,2017,8451,2919,58191,3576,7852,10663,91966,1543,1545,1565,1571,1572,4051,9267,11056,23258,55635,51029,1687,84649,10170,11083,84925,22943,28514,3337,11080,4189,1788,22845,23033,1803,25778,1843,150290,1846,1778,1876,8726,112398,1958,1959,1960,8662,56478,2002,79071,55250,27436,8507,5168,2052,2067,2068,2071,57471,2107,2123,55763,2162,2152,131408,56975,25940,10667,2194,26190,84261,9873,84824,2222,11259,2280,2289,752,2353,2354,1112,2357,23401,1647,283431,35864,2730,2672,26088,23062,2710,89944,2752,26205,2781,2791,2798,2811,2812,2815,29933,7107,2944,2950,2952,2976,23438,3036,3043,57493,8924,51191,9709,3081,85236,8350,8337,8349,3097,3109,3115,3117,3156,3162,92906,79803,11255,3303,3304,3309,3312,3361,8692,10964,2537,3434,3433,3437,8519,10581,3458,3459,3460,3586,3587,3590,3592,3603,3552,7850,3557,50615,3560,3565,3566,3570,84289,3628,8821,9636,3674,3678,3689,3693,282973,9929,3725,7994,3759,10765,23351,222223,23095,10112,4254,51621,10365,9314,1316,54758,59349,9757,3836,23484,3956,3957,3964,10184,57234,9516,9404,4052,4067,63905,55201,1326,4134,9261,4144,4155,199675,28985,4193,4204,4211,4241,4236,84975,60672,84981,4286,4288,4322,4313,10893,4314,4318,4352,4353,55167,4495,4501,64419,4599,4084,4602,4615,4636,55892,27163,4664,4665,10135,26502,10,4688,4739,4741,10725,4772,9603,4781,4790,4792,4793,4800,4851,4864,1728,2908,4929,8013,56675,8439,4521,23165,4968,80228,4998,5007,54995,5025,5027,286530,5048,9060,11315,142,94104,51260,5125,5141,5144,27115,8566,10158,79834,57162,53918,5196,5230,148479,23035,55361,23533,11142,7941,5329,9842,80301,10769,8613,5366,56937,51426,5431,10621,5447,5468,5473,51400,5500,5514,23645,26051,10842,5532,5553,5558,5583,5591,5613,5621,9128,10594,5717,5718,23198,84722,5732,5743,26191,5778,5788,5791,5806,5814,84440,57403,84932,51762,5880,5888,5905,10125,9770,5925,55147,54502,5937,3516,5965,5970,5971,5996,57414,388,54509,60626,6016,55298,9781,284996,55072,6227,10325,64121,89970,80230,861,860,6281,51669,84324,6309,10993,9919,6400,5055,29950,83667,6418,55209,9047,83699,6494,140885,6499,51296,9123,26503,5250,293,11182,79939,54407,23657,8140,91607,4088,10051,9021,6651,6653,6667,6670,6676,10615,9043,6678,90853,9806,6711,6720,6729,6427,140809,6482,8869,6775,83931,55342,8676,6817,6836,6877,23102,51256,93627,21577,51567,9524,7016,93081,7035,7049,10618,26277,7086,7097,83877,84314,83862,55654,55254,55287,25963,7124,7128,7130,8740,7153,27348,7157,58476,219931,7165,1200,6955,7187,81559,56658,9321,60487,8989,283989,340348,54902,7295,6675,55585,51366,7350,54578,54577,10600,11274,9960,8673,9218,7412,1462,7422,27287,284013,81552,9559,10810,29062,7486,7494,7507,7508,57510,7515,2547,56829,23174,54877,79683,130617,7538,7711,9310,58500,55900,55422,55659,284370,79027,90592,342945,54925,221302"
"D001556"	"Lindane"	"Homo sapiens"	139	"19,5243,9619,9429,205,64577,238,367,440,581,596,604,168620,330,56905,833,847,901,969,8832,1026,1051,79094,51232,1524,1583,1584,1585,1586,1588,1543,1555,1565,1571,1576,1551,7818,11080,11221,2042,2046,2099,2100,2101,2123,83641,127281,114907,10023,2554,2555,2559,2560,2561,2562,2566,2569,2625,2729,2730,93953,2674,2741,2742,8001,2796,84803,2841,84706,2936,3157,3284,3303,219844,3397,8870,3458,3567,64843,3725,23046,3815,54800,3976,79442,5604,5605,5594,5595,10461,10797,340719,135112,9603,4843,8856,4899,4914,4915,27250,5159,57162,5241,5334,23129,10957,5443,10891,23082,5894,5914,5979,5997,6257,56920,83667,6446,6462,6554,6580,6520,23657,8878,140809,10254,6770,6822,7019,64216,53346,55374,80775,64417,7124,7157,57761,7422,7436,89887"
"D001558"	"Benzethonium"	"Homo sapiens"	10	"6347,6348,6351,6352,3576,3570,3738,3757,6582,7422"
"D001562"	"Benzimidazoles"	"Homo sapiens"	6	"1543,3481,3785,3786,412,7153"
"D001572"	"Benzofurans"	"Homo sapiens"	10	"1583,1585,1588,1544,1589,3156,3292,3295,3284,6770"
"D001585"	"Benzoyl Peroxide"	"Homo sapiens"	9	"847,3576,2353,3552,3569,3725,142,5743,6647"
"D001599"	"Berberine"	"Homo sapiens"	152	"176,196,207,9212,6795,581,27113,596,598,10018,632,332,836,841,842,6347,595,894,898,1000,1017,1019,1021,1026,1027,1028,1050,1111,11200,1300,1277,1280,1387,1499,3576,54205,1543,1576,22943,1786,1789,9666,1978,2033,2167,355,356,2308,2309,8200,2932,3014,286436,3020,8520,3066,10014,55869,9734,8335,8334,3012,8969,85235,8331,8330,8336,8347,3017,8344,8343,8339,8345,8970,85236,8340,8342,8341,8348,8350,8358,8351,8968,8355,8357,8356,8366,8364,8365,8294,8337,8370,92815,8290,3162,3480,3553,3672,100195590,23028,9682,10765,7403,23135,387893,4322,4313,10135,4780,4803,8856,7468,4958,5027,142,5468,10216,3276,3275,10419,55170,54496,56341,6194,860,23067,29072,84193,55209,79918,80854,9869,83852,6476,23411,22933,23410,64754,6662,121340,6678,6696,6720,7015,7124,7150,7153,7157,7185,7319,7320,7424"
"D001615"	"beta-Endorphin"	"Homo sapiens"	7	"3558,3565,5594,5595,4792,5338,9958"
"D001622"	"Betaine"	"Homo sapiens"	6	"596,635,1571,2157,2158,6584"
"D001623"	"Betamethasone"	"Homo sapiens"	12	"367,6347,6348,6351,3576,1958,2395,3248,3291,2908,4306,7422"
"D001624"	"Betamethasone Valerate"	"Homo sapiens"	9	"958,9308,942,1437,3458,3558,3562,3565,3567"
"D001629"	"Bezafibrate"	"Homo sapiens"	95	"19,8647,5244,1244,10257,64240,37,51,2180,9370,224,249,335,336,338,345,348,430,6348,6352,948,959,1071,1082,1374,1376,1387,1401,1490,3576,1535,1588,1543,1591,1579,1581,1906,79071,2168,2170,2167,355,356,2194,26291,2353,2488,3156,3383,3479,3553,3569,3630,3725,3952,3990,4023,653361,8648,10499,4868,7376,10062,9971,8856,255738,5166,123,729359,5360,5465,100136658,5467,5468,6256,6257,6258,20249,9997,6401,5054,6514,10599,6647,6696,6720,6721,7040,7069,7124,54600,7364,7412,1462,7421"
"D001632"	"Bibenzyls"	"Homo sapiens"	5	"207,2932,3162,4780,11315"
"D001639"	"Bicarbonates"	"Homo sapiens"	9	"55811,213,759,760,761,1080,1811,6522,6647"
"D001645"	"Biguanides"	"Homo sapiens"	6	"140628,8290,23028,6422,6424,6425"
"D001647"	"Bile Acids and Salts"	"Homo sapiens"	47	"8647,1244,8714,10257,29929,79053,9531,1045,1593,1581,1956,1974,9965,2264,2954,3156,3172,3569,3875,3856,3949,4170,2475,4790,8431,9971,8856,51247,10954,5743,5861,5955,5970,113402,6554,6555,6548,10599,28234,6648,6729,6774,6814,6822,7157,23471,7429"
"D001663"	"Bilirubin"	"Homo sapiens"	166	"4363,207,210,213,301,374,9411,79754,467,22926,476,8313,2647,10438,836,847,151887,595,9936,79094,1119,23155,6249,1281,1355,1362,1437,1512,3627,6373,2920,3576,1543,1548,1555,1559,1576,1649,420357,93099,3337,23549,23333,1847,1906,54583,9538,23741,9451,1965,23052,345757,2321,8061,4616,60674,2934,2938,2939,2940,2941,373156,2944,2950,401494,9843,9709,3091,3008,8347,319188,8294,97114,92815,3162,373300,3309,3418,3475,3486,3606,3553,3569,3912,3920,54741,3976,4035,110454,4094,5594,5595,10982,4200,1955,4258,4322,10205,29074,4811,23530,25819,8856,9970,29948,142,5163,27315,5245,8554,5295,18722,51365,5376,5445,10549,5728,83937,9584,10181,5970,22836,6038,6281,6275,6342,8991,66222,5054,27244,81537,387700,9963,9962,6520,23657,10599,57231,50964,389058,73526,6892,6925,25976,9375,7124,55504,1200,28951,7329,54658,54659,7366,708396,7381,7384,7388,80146,7436,7494,26137,339487,84186,90637,22680,24132"
"D001664"	"Biliverdine"	"Homo sapiens"	5	"207,1548,3606,5728,10599"
"D001688"	"Biological Products"	"Homo sapiens"	35	"102,6868,351,10533,23621,581,596,8678,815,836,841,842,847,1026,3627,3576,4283,355,356,2729,2730,3162,3586,3553,5601,2475,4780,142,5562,5663,8878,6772,6794,7124,8797"
"D001710"	"Biotin"	"Homo sapiens"	12	"6373,1545,1571,3039,26091,7290,3500,3916,10891,8884,5651,7175"
"D001728"	"Dicumarol"	"Homo sapiens"	27	"213,472,836,847,942,1026,1050,3576,3309,3479,3553,3725,5594,5602,5595,5599,5601,4318,4790,1728,5925,9821,5970,6648,7124,7157,7186"
"D001761"	"Bleomycin"	"Homo sapiens"	34	"472,596,329,642,836,841,842,847,11200,1437,1520,2920,3576,1786,2932,3014,1839,3552,3553,3569,4312,4586,4792,653509,729238,8243,8651,6647,6648,7124,7157,10155,7515,7520"
"D001786"	"Blood Glucose"	"Homo sapiens"	8	"196,836,841,2936,3630,4843,5445,6647"
"D001865"	"Bongkrekic Acid"	"Homo sapiens"	5	"9370,3383,11009,5468,292"
"D001895"	"Boron"	"Homo sapiens"	6	"26033,632,655,836,595,1277"
"D001959"	"Bromates"	"Homo sapiens"	5	"759,760,762,763,768"
"D001971"	"Bromocriptine"	"Homo sapiens"	14	"467,1576,1621,1813,2488,2688,3162,3363,3630,3972,4780,5443,5617,7432"
"D002034"	"Bumetanide"	"Homo sapiens"	9	"10257,1080,2150,3135,5972,10786,55867,10864,9376"
"D002038"	"Bungarotoxins"	"Homo sapiens"	19	"43,207,351,596,1019,1139,55584,1272,7852,2624,2625,4790,5111,5743,5894,5925,6772,7124,7538"
"D002045"	"Bupivacaine"	"Homo sapiens"	7	"836,842,3753,51305,3784,5742,5743"
"D002047"	"Buprenorphine"	"Homo sapiens"	12	"1558,1565,1576,3558,3565,5594,5595,4985,4986,4987,4988,54658"
"D002064"	"Buserelin"	"Homo sapiens"	13	"8714,113146,581,836,842,1082,54205,22943,27123,2488,2798,94025,6424"
"D002065"	"Buspirone"	"Homo sapiens"	7	"1565,1576,1577,3350,5443,5617,6582"
"D002066"	"Busulfan"	"Homo sapiens"	36	"10541,328,367,396,472,836,841,842,994,1026,1111,11200,2938,2944,2950,2952,3014,3624,5594,5595,4258,4609,4869,142,5743,462,5054,8243,9126,7018,7035,7040,7057,7124,7157,331"
"D002083"	"Butylated Hydroxyanisole"	"Homo sapiens"	32	"1244,367,523,759,760,836,840,873,1066,4513,1548,1573,2099,2100,2353,2729,3162,3553,3725,6416,5594,5595,5599,4780,1728,142,5241,5580,5706,6648,7124,54658"
"D002084"	"Butylated Hydroxytoluene"	"Homo sapiens"	34	"19,59,335,336,367,523,760,836,4513,1555,1573,1576,2152,3162,4018,7376,10062,9970,4968,142,5230,5327,5444,5445,778733,5468,5706,5054,6648,7019,51106,64216,7040,7124"
"D002087"	"Butyrates"	"Homo sapiens"	129	"5243,1636,9131,207,248,367,8313,578,581,596,597,598,637,332,836,840,841,842,8900,890,891,595,894,898,1232,22948,999,983,1017,1026,1027,1053,8837,1080,1191,1440,1474,10664,1499,3576,54205,1612,1719,56616,151871,359787,55211,340168,26291,2356,2571,1647,2934,2938,2939,2941,2946,2950,2953,2957,11036,3005,26959,3065,8841,10013,3087,8290,121504,3326,3312,3437,3440,3458,3586,3592,3593,3594,3595,3553,3558,3565,3569,354,3956,5604,5594,5602,1432,5595,5599,4170,4204,406900,442891,4316,9526,4353,4609,79923,2908,142,5111,5294,5315,5329,5371,5468,84152,5580,5582,5728,5743,5894,5914,11186,5925,6242,6566,6528,160728,6531,6696,8869,7052,7124,8626,7298,331"
"D002090"	"Butyrophenones"	"Homo sapiens"	5	"595,57222,2099,3756,5272"
"D002101"	"Cacodylic Acid"	"Homo sapiens"	63	"10257,196,207,351,57584,57412,468,598,649,771,835,836,858,948,968,1026,1029,1543,1643,1649,1958,2099,2289,2353,1647,27165,2941,2952,3162,11009,3663,3725,3964,4023,11184,5594,4193,4493,4609,4780,4790,1728,3084,5097,5468,19349,5894,5970,121260,23169,10599,6714,6774,7039,7040,7056,7157,7295,7296,9098,7874,7471,7494"
"D002104"	"Cadmium"	"Homo sapiens"	1621	"1,2,100329167,23460,10350,5243,4363,85320,9429,27,72,10097,8751,255926,54507,113,2015,30817,84658,10149,84873,128,130,51094,133,135,136,140,151,153,173,119016,729092,653268,183,130872,9131,55122,231,57016,1645,1646,8644,6718,207,210,213,216,160428,8659,4329,226,248,249,130540,259,51005,265,51421,270,276,279,285,51129,27063,441425,729171,149992,54443,23520,81611,118429,301,302,303,304,306,163,325,328,334,335,336,337,338,348,80831,84334,351,375719,374,375,503582,55114,84986,57636,257106,2909,396,9459,10620,55156,10093,430,432,57168,259266,79969,467,23300,23400,489,490,533,538,540,79895,6314,552889,549,6790,10677,60370,563,567,338707,11285,9577,573,9532,9531,578,581,8424,8537,586,590,596,598,56271,632,637,274,329,330,644,650,664,666,670,673,672,684,685,689,503543,11120,699,701,143501,79703,387763,145788,284083,124773,10438,388667,127703,79630,713,714,389941,114904,715,716,128864,718,721,722,727,136895,154907,733,56892,401466,414919,771,23632,762,81617,777,27101,57863,8618,93664,794,796,10203,51806,811,6650,824,57524,100506742,23581,836,839,840,842,847,863,80129,729665,90416,55704,257236,90324,6347,10344,8900,890,891,9133,595,898,9134,899,905,151195,1232,1236,929,909,30835,29126,9936,915,917,960,961,978,991,10435,157313,83461,113130,55143,999,983,1026,1029,1031,1033,1038,1990,51032,1058,65996,1062,1063,64105,79019,55165,51148,79603,629,3075,3426,1080,10036,1103,1111,1113,1116,54480,56994,91851,64377,148523,117286,27141,11113,1152,1163,9635,23529,6320,10143,64581,1047,79745,1195,63967,1191,255919,1264,1266,1270,152330,1303,169044,81035,51138,56997,1352,1353,10063,1329,125965,1356,1369,8895,130749,1381,1385,8804,1390,1401,1409,1410,51084,1437,1466,1471,1474,23283,128817,728911,441519,441521,541465,1487,1489,1490,1499,1509,1524,6387,9547,2920,2921,6374,3576,7852,541578,54205,50626,1588,1543,1591,1559,1571,57834,4051,116159,728294,1601,1605,1622,55827,117159,10671,1649,54514,1666,162989,245911,163259,55789,28955,1687,22894,22943,10395,9229,9787,28514,93099,3301,55466,3337,11080,10049,4189,7802,1777,1786,1789,55816,285489,84444,8110,1816,57453,1828,1832,667,11034,51514,1841,1843,11221,1846,1847,1848,1852,22947,441056,55184,22873,1869,144455,79733,10682,10455,643332,60401,64184,1906,1917,1950,25975,1956,1958,1959,163126,10289,9451,8893,1975,1997,22936,51224,6923,2023,2026,5168,2036,255324,2048,2056,55914,2072,2077,2081,23071,54206,2099,2100,2114,2119,283673,55770,11336,54512,7430,2160,2161,2147,2153,2157,3995,81889,100129396,159090,645520,654412,27112,400823,284800,388799,100131997,728833,728495,23625,389633,441317,84191,2188,55215,355,120114,54751,64319,84961,26234,26273,84085,286151,26271,26270,83953,2213,8547,84824,2235,10116,654463,2246,2258,2247,2249,2251,2260,2263,2274,2288,11328,2312,2317,2321,2335,64122,2350,2353,2354,8061,2355,2295,668,441581,100288801,83786,2488,10468,10272,56884,2495,2512,2521,2525,2535,50486,2548,11337,2553,2559,2562,2563,1647,4616,10912,729428,645073,26748,729396,51083,79623,51809,2596,2619,283431,2520,2638,2729,2730,284161,2669,2694,9837,2696,2697,2710,112770,2752,2760,2775,132789,84572,2799,283767,647042,374650,440295,2812,51206,2817,56261,2852,57720,139760,23432,2844,2849,2850,2861,2828,2878,2880,2885,9380,2918,79774,2928,2932,2934,2935,2936,442245,2947,2949,9446,2950,112495,8225,51512,728411,653188,283464,8971,26762,3040,3043,3055,391723,55363,390992,57801,388585,55502,84667,3074,51236,3091,29923,373861,28996,7290,85236,440689,333932,653604,3099,3106,3134,8091,283651,79366,3162,10949,144983,3187,3188,3204,3225,3236,3240,3250,79803,3263,3273,388697,3291,84263,3297,84941,3320,3326,391634,7184,3303,3304,3305,3308,22824,3309,3310,3312,26353,3329,3336,10808,5654,3373,3381,3417,3423,10437,10561,10581,10410,3439,3447,3458,3475,56912,3479,3480,3481,3483,3487,3492,3493,3495,3500,3503,3507,50802,3514,28912,28875,3535,28831,28796,3551,3586,3589,3597,3600,3552,3553,7850,3556,11141,26280,9173,8808,3557,51561,9466,27178,3569,3575,55272,55364,3624,3625,51763,3630,80789,203522,10526,3656,153572,3669,3673,3675,3678,3655,3684,3688,23421,3697,3698,3700,3708,120425,3512,122953,23210,32351,3725,3726,3727,3728,25959,8850,390594,3746,3776,50801,8645,10765,3791,3832,9928,146909,10749,10112,3835,9493,11004,24137,3801,3803,3804,100132285,3809,115653,84634,9365,9314,1316,5655,354,5650,11202,3818,4297,387893,3827,90417,3840,3845,3848,3858,3861,3868,3872,3880,3849,3852,3853,3854,286887,3855,196374,144501,3857,440021,8942,284217,3914,10542,9215,3927,3929,3930,3933,3939,3949,3960,51557,10186,64077,3976,401253,100499466,140834,29995,4016,10161,116844,4036,122769,151827,474170,57470,125144,84230,120892,80059,7798,4061,80740,4063,23643,8216,84445,126868,4085,4094,389692,23764,139604,286514,9223,7851,4129,4131,4133,5604,5605,9020,9064,4134,11183,5594,5600,1432,5595,5597,5599,5601,92935,115004,23263,4171,4173,4174,9477,254528,55897,4233,4234,399664,4247,4248,11343,55793,50488,100302160,100302145,100302123,406918,406929,406938,100302139,406949,406955,406981,406989,406991,407007,407011,407036,442917,494324,574449,574514,406884,406887,406890,4288,10962,4312,4320,4322,4326,4313,4318,4337,10934,4352,80133,63931,54860,84437,4440,4485,11209,4489,4490,4493,4494,4495,4496,645745,4498,4500,4499,4501,4502,4504,9112,4520,441024,10903,92154,10071,4584,4589,4084,4606,4608,4609,4617,4628,79784,10627,29116,4641,196446,653784,51126,84316,64859,79923,148545,653149,4684,9918,64151,54892,653361,135112,10403,54820,374291,4723,4738,4751,7469,9147,10763,10276,4780,4783,4791,4792,2631,644524,57502,199713,4833,23057,10874,4843,56654,9284,23117,8131,387129,4852,1728,2908,3164,4929,3084,84081,56953,50863,9423,4925,64710,4521,84309,83540,91181,129401,54830,26471,51203,55999,55998,120406,4938,654231,4951,55753,55239,4968,11339,55301,26532,26476,8386,347168,26735,138881,341152,343173,127068,134083,4994,119749,219875,81399,441308,79544,441669,390113,79339,390066,81228,390195,441608,390323,341799,389616,8586,26595,390271,5004,5005,29095,10956,29948,9180,26578,344901,100506365,144203,5025,55824,203569,5058,5063,54873,124222,142,23598,5076,55872,5096,5100,51585,57092,27344,78991,84306,5137,5154,5156,5160,64714,9124,5170,5175,57162,53918,5179,5187,8864,5225,5230,25796,114771,5241,10424,5279,5283,9091,5294,5304,26207,339044,91461,9088,8502,5320,5327,5329,201164,130271,349633,285189,5342,5347,5350,5358,5366,11243,5383,80339,10714,94026,5444,10891,5473,79717,5478,653505,5481,10105,85313,10848,81706,23645,26051,5519,54896,65121,729528,343068,9055,5052,9588,10216,5573,5589,5590,5617,5618,5624,55771,54458,122183,80758,339501,5652,9081,5723,84722,5724,5734,5743,5763,11156,5788,9232,5829,100996939,5858,5860,9444,27291,57111,10981,83871,115827,10966,115273,5875,5880,29127,5810,5894,55103,10267,5914,22821,8437,153020,10125,11186,27288,5948,65055,5970,5971,84957,254958,100288527,117584,28984,5997,8601,5999,353299,6009,121268,171177,6015,51115,6039,390,84282,255488,138065,149603,127544,727800,80352,6047,9025,55328,8731,6066,6137,387841,644511,6142,402176,6146,284942,6158,6130,645958,256355,6198,113000,6236,10670,6239,6241,222967,57035,84816,80230,154661,860,23429,6261,6277,6278,6279,6280,6286,9294,29901,90378,6303,646643,619383,6319,8796,7857,6328,6344,6401,85465,6414,6415,10371,23157,5265,12,5267,5104,866,1992,5055,5271,462,3053,5054,5270,710,871,56256,83667,143686,29072,389376,81855,6444,6446,259230,81537,6448,10603,6451,6457,6464,54414,150094,23411,147912,6502,56833,4891,121260,6566,387700,6568,10786,80704,6575,6583,10166,29957,291,292,65012,1836,2030,3177,6513,144195,6515,7779,7780,54733,27173,64116,6520,80736,50651,113235,55244,146802,6523,159963,6526,6532,23657,9056,23315,28231,100506736,84189,11042,10051,140775,26952,333929,8773,6618,6623,677836,692227,338433,100033448,100033449,100033460,100033802,100033804,100033814,100033816,100033443,692090,11066,6636,29887,83891,8835,6647,6648,54345,6667,121340,9043,64648,6678,64847,57405,285955,441273,442590,441251,728524,8877,6690,10417,6696,6712,84654,8878,6715,6716,140890,6732,63826,10250,6427,6432,140809,23635,170463,6752,6757,6759,10610,7903,342667,6772,6774,8614,51765,3925,2054,6820,6838,26032,23208,9066,94122,6866,6869,51616,6891,30851,64786,26083,729873,414059,84218,440452,9496,158931,51186,6941,100129654,6925,6947,6998,51567,9894,7018,7021,7024,7043,7046,7048,7054,7057,117145,51337,7066,84948,100287932,92609,7078,26277,7083,81793,7099,4071,79838,54972,161145,91304,57393,203562,140738,85025,84283,58986,147184,7114,56255,7124,7128,25816,51330,7132,27242,8718,8743,8741,9966,23043,10188,3842,23112,11073,7157,8626,7164,7168,7171,7179,387590,22974,8717,54210,340205,10221,57761,10626,51127,57093,84767,55503,116461,26526,6302,340348,23270,83983,54902,23508,7276,7280,10381,11334,7295,84203,7296,7298,55236,7314,11065,7323,51619,83549,7349,7351,80328,81622,7348,7379,7378,743186,377630,391622,29761,373509,7402,6845,7408,1462,7416,7422,7425,7428,7431,5212,79720,7447,7448,23063,9277,151525,7465,164237,7475,11059,6375,389668,7507,57510,646531,286451,79693,253943,7534,51114,90637,7538,678,114026,57178,116225,51427,163071,100399765,7756,10172,8427,57335,729288,162979,140467,342908,10224,168544,79818,115196,374900,163051,65988,125893,128611,7643,741,80862,22917,140831,7789"
